samp_target,disk_radius,tot_radius,fr_length,fr_width,fr_pos,styles,ploidy
3,1.5,4.32,9.79,8.29,5.56,2.0,2.0
3,1.44,4.3,10.04,8.31,5.23,2.0,2.0
3,1.54,4.26,9.89,8.31,6.05,2.0,2.0
3,1.51,4.07,8.95,8.04,4.86,2.0,2.0
3,1.34,4.16,8.66,8.07,4.64,2.0,2.0
3,1.44,4.38,9.7,8.72,6.01,2.0,2.0
3,1.71,4.25,11.25,8.27,6.54,2.0,2.0
3,1.51,4.19,9.45,7.57,4.93,2.0,2.0
3,1.43,4.28,10.38,8.21,5.28,2.0,2.0
3,1.6,4.53,11.09,8.6,5.42,2.0,2.0
3,1.5,4.32,9.79,8.29,5.56,2.0,2.0
3,1.44,4.3,9.79,8.29,5.56,2.0,2.0
3,1.54,4.26,9.89,8.31,6.05,2.0,2.0
3,1.51,4.07,8.95,8.04,4.86,2.0,2.0
3,1.34,4.16,8.66,8.07,4.64,2.0,2.0
3,1.44,4.38,9.7,8.72,6.01,2.0,2.0
3,1.71,4.25,11.25,8.27,6.54,2.0,2.0
3,1.51,4.19,9.45,7.57,4.93,2.0,2.0
3,1.43,4.28,10.38,8.21,5.28,2.0,2.0
3,1.55,4.73,10.27,9.2,5.4,2.0,2.0
3,1.62,5.18,11.33,9.63,5.81,2.0,2.0
3,1.6,4.85,9.37,9.61,6.39,2.0,2.0
3,1.58,4.94,9.46,9.27,6.2,2.0,2.0
3,1.66,4.19,9.35,7.93,5.95,2.0,2.0
3,1.56,4.76,9.51,8.95,4.63,2.0,2.0
3,1.54,4.77,9.8,9.18,3.96,2.0,2.0
3,1.62,4.68,9.74,9.16,5.45,2.0,2.0
3,1.66,4.96,9.45,8.72,6.18,2.0,2.0
3,1.62,4.15,9.17,8.06,5.82,2.0,2.0
3,1.39,4.09,8.98,7.78,4.72,2.0,2.0
3,1.28,3.97,9.08,7.93,4.34,2.0,2.0
3,1.48,4.57,9.82,8.66,5.55,2.0,2.0
3,1.47,4.37,8.6,8.32,3.53,2.0,2.0
3,1.63,4.26,9.24,8.33,5.2,2.0,2.0
3,1.46,4.47,8.57,8.11,5.66,2.0,2.0
3,1.43,4.24,10.13,8.42,5.39,2.0,2.0
3,1.5,4.17,9.02,7.72,5.51,2.0,2.0
3,1.64,4.73,9.88,9.21,5.6,3.0,2.0
3,1.47,4.41,9.58,8.66,4.71,2.0,2.0
3,1.7,5.24,10.23,10.29,6.21,3.0,2.0
3,1.53,4.74,9.38,9.31,5.7,2.0,2.0
3,1.58,4.8,10.33,8.44,5.35,2.0,2.0
3,1.34,3.99,9.44,7.86,5.84,2.0,2.0
3,1.49,5.24,10.32,9.81,5.45,2.0,2.0
3,1.43,4.04,9.23,7.67,5.33,2.0,2.0
3,1.2,4.72,10.15,8.42,4.55,2.0,2.0
3,1.59,5.19,10.15,10.13,5.99,2.0,2.0
3,1.43,4.35,8.44,8.3,4.97,2.0,2.0
3,1.4,4.6,9.44,9.11,5.38,2.0,2.0
3,1.23,4.24,7.6,8.11,4.37,2.0,2.0
3,1.25,4.34,7.73,8.57,4.52,2.0,2.0
3,1.3,4.38,8.73,8.64,5.53,2.0,2.0
3,1.28,3.72,7.07,7.18,4.16,2.0,2.0
3,1.22,4.46,8.41,8.67,4.91,2.0,2.0
3,1.47,4.33,8.63,8.46,5.9,2.0,2.0
3,1.37,4.57,8.15,8.96,4.24,2.0,2.0
3,1.35,4.17,7.71,8.23,4.77,2.0,2.0
3,1.47,4.69,8.58,8.89,4.63,2.0,2.0
3,1.23,4.96,9.95,9.6,5.12,2.0,2.0
3,1.09,4.55,9.76,8.5,5.82,2.0,2.0
3,1.6,5.37,10.66,10.21,4.97,2.0,2.0
3,1.89,4.89,9.48,9.51,5.2,2.0,2.0
